#101189 - Alt. Awoken Hera-Beorc
monster size: 5
new AI: False
start/max counter: 1
counter increment: 1
monster_id: 101189
approved: False

level: 1
 type: PREEMPT
 | (934:53) Photosynthesis
 | Absorb Light damage for 10 turns
 group:
 | group:
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | condition: 70% chance
     | (933:48) Arboreal Queen's Allure
     | Change all Fire orbs to Wood orbs, Deal 70% damage
     | (932:63) Tie Up
     | Bind 1 random sub for 3 turns, Deal 40% damage
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | condition: 70% chance
     | (933:48) Arboreal Queen's Allure
     | Change all Fire orbs to Wood orbs, Deal 70% damage
 | group:
 | condition: hp <= 49
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | condition: 70% chance
     | (935:48) Arboreal Queen's Temptation
     | Change all Dark orbs to Light orbs, Deal 100% damage
     | (932:63) Tie Up
     | Bind 1 random sub for 3 turns, Deal 40% damage
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | condition: 70% chance
     | (935:48) Arboreal Queen's Temptation
     | Change all Dark orbs to Light orbs, Deal 100% damage
 | group:
 | condition: hp <= 29
   | (327:15) Jupiter Genesis
   | Deal 200% damage
