#103728 - Alt. Mushi
monster size: 3
new AI: True
start/max counter: 1
counter increment: 0
monster_id: 103728
approved: False

level: 4
 type: PREEMPT
 | (7376:20) Hushenfu
 | Voids status ailments for 1 turn
 group:
 | group:
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (7349:75) Jiaohuan
     | Leader changes to random sub for 1 turn, Deal 80% damage
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | (7352:15) Gongji
     | Deal 100% damage (2 hits, 50% each)
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (7360:66) It's jumping around
     | Do nothing
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1
     | (7379:94) Mushufu
     | Lock all Wood orbs, Deal 50% damage
     | (7349:75) Jiaohuan
     | Leader changes to random sub for 1 turn, Deal 80% damage
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (7352:15) Gongji
     | Deal 100% damage (2 hits, 50% each)
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | (7360:66) It's jumping around
     | Do nothing
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (7349:75) Jiaohuan
     | Leader changes to random sub for 1 turn, Deal 80% damage
 type: REMAINING
 condition: when 1 enemies remain
 | group:
 | condition: turn 1 while HP > 49, hp <= 100
   | (7353:17) Fennu
   | Increase damage to 150% for the next 999 turns
 | group:
 | condition: turn 1, hp <= 49
   | (7379:94) Mushufu
   | Lock all Wood orbs, Deal 50% damage
   | (7353:17) Fennu
   | Increase damage to 150% for the next 999 turns

level: 5
 type: PREEMPT
 | (8202:53) Muhushenfu
 | Absorb Wood damage for 2~6 turns
 group:
 | group:
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (7349:75) Jiaohuan
     | Leader changes to random sub for 1 turn, Deal 80% damage
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | (7352:15) Gongji
     | Deal 100% damage (2 hits, 50% each)
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (7360:66) It's jumping around
     | Do nothing
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1
     | (7379:94) Mushufu
     | Lock all Wood orbs, Deal 50% damage
     | (7349:75) Jiaohuan
     | Leader changes to random sub for 1 turn, Deal 80% damage
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (7352:15) Gongji
     | Deal 100% damage (2 hits, 50% each)
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | (7360:66) It's jumping around
     | Do nothing
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (7349:75) Jiaohuan
     | Leader changes to random sub for 1 turn, Deal 80% damage
 type: REMAINING
 condition: when 1 enemies remain
 | group:
 | condition: turn 1 while HP > 49, hp <= 100
   | (7353:17) Fennu
   | Increase damage to 150% for the next 999 turns
 | group:
 | condition: turn 1, hp <= 49
   | (7379:94) Mushufu
   | Lock all Wood orbs, Deal 50% damage
   | (7353:17) Fennu
   | Increase damage to 150% for the next 999 turns
