#1592 - Water Insect Dragon, Deadjumper
monster size: 5
new AI: False
start/max counter: 1
counter increment: 1
monster_id: 1592
approved: False

level: 5
 type: PREEMPT
 | (1503:67) Insect Dragon's Chitin
 | Absorb damage when combos <= 3 for 5 turns
 group:
 | group:
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | (1557:48) High Jump
     | Change a random attribute to Jammer orbs, Deal 20% damage
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (1558:48) Locust Press
     | Change all Jammer orbs to Water orbs, Deal 125% damage
     | (1561:15) Jumping Breath
     | Deal 80% damage (4 hits, 20% each)
 | group:
 | condition: always turn 1, hp <= 49
   | (1559:2) Plant Feast
   | Bind Wood cards for 3 turns
 | group:
 | condition: hp <= 29
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | (1557:48) High Jump
     | Change a random attribute to Jammer orbs, Deal 20% damage
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (1560:48) Meteor Strike
     | Change all Jammer orbs to Water orbs, Deal 200% damage
     | (1558:48) Locust Press
     | Change all Jammer orbs to Water orbs, Deal 125% damage
     | (1561:15) Jumping Breath
     | Deal 80% damage (4 hits, 20% each)

level: 10
 type: PREEMPT
 | (1504:67) Insect Dragon's Steel Chitin
 | Absorb damage when combos <= 4 for 10 turns
 group:
 | group:
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | (1557:48) High Jump
     | Change a random attribute to Jammer orbs, Deal 20% damage
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (1558:48) Locust Press
     | Change all Jammer orbs to Water orbs, Deal 125% damage
     | (1561:15) Jumping Breath
     | Deal 80% damage (4 hits, 20% each)
 | group:
 | condition: always turn 1, hp <= 49
   | (1559:2) Plant Feast
   | Bind Wood cards for 3 turns
 | group:
 | condition: hp <= 29
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | (1557:48) High Jump
     | Change a random attribute to Jammer orbs, Deal 20% damage
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (1560:48) Meteor Strike
     | Change all Jammer orbs to Water orbs, Deal 200% damage
     | (1558:48) Locust Press
     | Change all Jammer orbs to Water orbs, Deal 125% damage
     | (1561:15) Jumping Breath
     | Deal 80% damage (4 hits, 20% each)
