#202560 - 真ハマル
monster size: 5
new AI: True
start/max counter: 1
counter increment: 0
monster_id: 202560
approved: False

level: 1
 type: PASSIVE
 | (13751:118) 悪魔半減
 | Reduce damage from Devil types by 50%
 type: PREEMPT
 | condition: 25% chance
 | (28226:83) 転星 + スターソーサー + 禍の啓示 + 星の意志
 | Change own attribute to Fire + Absorb Water damage for 10 turns + Lock all Heal orbs + Bind awoken skills for 1 turn
 | condition: 25% chance
 | (28227:83) 転星 + スターソーサー + 禍の啓示 + 星の意志
 | Change own attribute to Water + Absorb Wood damage for 10 turns + Lock all Heal orbs + Bind awoken skills for 1 turn
 | condition: 25% chance
 | (28228:83) 転星 + スターソーサー + 禍の啓示 + 星の意志
 | Change own attribute to Wood + Absorb Fire damage for 10 turns + Lock all Heal orbs + Bind awoken skills for 1 turn
 | condition: 25% chance
 | (28229:83) 転星 + スターソーサー + 禍の啓示 + 星の意志
 | Change own attribute to Light + Absorb Dark damage for 10 turns + Lock all Heal orbs + Bind awoken skills for 1 turn
 group:
 | group:
 | condition: always turn 1
   | (6648:85) 死星
   | Change all orbs to Poison, Deal 140% damage
 | group:
   | group:
   | condition: turn 2 while HP > 49
     | condition: 50% chance
     | (6652:83) 星羊の金毛 + ダークネイル
     | A 3×1 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
     | (6653:83) 星羊の金毛 + ダークネイル
     | A 1×3 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
   | group:
   | condition: turns 3-4 while HP > 49
     | (6654:63) 暗星の瞬き
     | Bind 1 random card for 1 turn, Deal 140% damage
   | group:
   | condition: turn 5 while HP > 49
     | condition: 50% chance
     | (6652:83) 星羊の金毛 + ダークネイル
     | A 3×1 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
     | (6653:83) 星羊の金毛 + ダークネイル
     | A 1×3 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
   | group:
   | condition: turns 6-7 while HP > 49
     | (6654:63) 暗星の瞬き
     | Bind 1 random card for 1 turn, Deal 140% damage
   | group:
   | condition: turn 8 while HP > 49
     | condition: 50% chance
     | (6652:83) 星羊の金毛 + ダークネイル
     | A 3×1 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
     | (6653:83) 星羊の金毛 + ダークネイル
     | A 1×3 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
   | group:
   | condition: turns 9-10 while HP > 49
     | (6654:63) 暗星の瞬き
     | Bind 1 random card for 1 turn, Deal 140% damage
   | group:
     | (27161:83) 神恨 + 聖跡の終天罰
     | Bind awoken skills for 10 turns + Deal 800% damage (5 hits, 160% each), Deal 800% damage (5 hits, 160% each)
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 2 while HP > 19
     | (6658:83) 星還 + 神王の共鳴 + 禍雨
     | Change own attribute to Dark + Increase damage to 150% for the next 999 turns + Poison skyfall +15% for 5 turns
   | group:
   | condition: turn 3 while HP > 19
     | condition: 50% chance
     | (6652:83) 星羊の金毛 + ダークネイル
     | A 3×1 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
     | (6653:83) 星羊の金毛 + ダークネイル
     | A 1×3 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
   | group:
   | condition: turn 5 while HP > 19
     | (6654:63) 暗星の瞬き
     | Bind 1 random card for 1 turn, Deal 140% damage
   | group:
   | condition: turn 6 while HP > 19
     | condition: 50% chance
     | (6652:83) 星羊の金毛 + ダークネイル
     | A 3×1 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
     | (6653:83) 星羊の金毛 + ダークネイル
     | A 1×3 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
   | group:
   | condition: turn 8 while HP > 19
     | (6654:63) 暗星の瞬き
     | Bind 1 random card for 1 turn, Deal 140% damage
   | group:
   | condition: turn 9 while HP > 19
     | condition: 50% chance
     | (6652:83) 星羊の金毛 + ダークネイル
     | A 3×1 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
     | (6653:83) 星羊の金毛 + ダークネイル
     | A 1×3 rectangle of clouds appears for 2 turns at a random location + Deal 150% damage (3 hits, 50% each), Deal 150% damage (3 hits, 50% each)
 | group:
 | condition: turns 2-10, hp <= 19
   | (6659:85) クルエルティスター
   | Change all orbs to Poison, Deal 680% damage
