#203826 - Pixelit
monster size: 4
new AI: True
start/max counter: 0
counter increment: 0
monster_id: 203826
approved: False

level: 4
 type: PREEMPT
 | condition: 17% chance
 | (7749:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 17% chance
 | (7750:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 17% chance
 | (7751:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 17% chance
 | (7752:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 16% chance
 | (7753:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 16% chance
 | (7754:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 group:
 | condition: 17% chance
 | (7749:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 17% chance
 | (7750:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 17% chance
 | (7751:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 17% chance
 | (7752:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 16% chance
 | (7753:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
 | condition: 16% chance
 | (7754:98) Pixel Punch
 | Blind orbs in specific positions for 1 turn, Deal 100% damage
