#205616 - Abyssal Bewitching Dragon, Sazile
monster size: 5
new AI: True
start/max counter: 1
counter increment: 0
monster_id: 205616
approved: False

level: 1
 type: PASSIVE
 | (28291:129) ＿サザ超根性
 | Damage which would reduce HP from above 50% to below 50% is nullified
 type: PREEMPT
 | (28292:83) 紫光の龍眼 + 満ち潮のオーラ
 | Voids status ailments for 999 turns + Absorb damage when damage >= 300,000,000 for 1 turn
 group:
 | group:
   | group:
   | condition: turn 1 while HP > 49
     | (28295:83) 呪いの汚泥 + 引き潮の砂獄
     | Water and Poison skyfall +15% for 1 turn + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 2 while HP > 49
     | (28298:83) 穢れた汚泥 + 満ち潮のオーラ
     | Water and Mortal Poison skyfall +15% for 1 turn + Absorb damage when damage >= 300,000,000 for 1 turn, Deal 300% damage
   | group:
   | condition: turn 3 while HP > 49
     | (28295:83) 呪いの汚泥 + 引き潮の砂獄
     | Water and Poison skyfall +15% for 1 turn + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 4 while HP > 49
     | (28298:83) 穢れた汚泥 + 満ち潮のオーラ
     | Water and Mortal Poison skyfall +15% for 1 turn + Absorb damage when damage >= 300,000,000 for 1 turn, Deal 300% damage
   | group:
   | condition: turn 5 while HP > 49
     | (28295:83) 呪いの汚泥 + 引き潮の砂獄
     | Water and Poison skyfall +15% for 1 turn + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 6 while HP > 49
     | (28298:83) 穢れた汚泥 + 満ち潮のオーラ
     | Water and Mortal Poison skyfall +15% for 1 turn + Absorb damage when damage >= 300,000,000 for 1 turn, Deal 300% damage
   | group:
   | condition: turn 7 while HP > 49
     | (28295:83) 呪いの汚泥 + 引き潮の砂獄
     | Water and Poison skyfall +15% for 1 turn + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 8 while HP > 49
     | (28298:83) 穢れた汚泥 + 満ち潮のオーラ
     | Water and Mortal Poison skyfall +15% for 1 turn + Absorb damage when damage >= 300,000,000 for 1 turn, Deal 300% damage
   | group:
   | condition: turn 9 while HP > 49
     | (28295:83) 呪いの汚泥 + 引き潮の砂獄
     | Water and Poison skyfall +15% for 1 turn + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 10 while HP > 49
     | (28298:83) 穢れた汚泥 + 満ち潮のオーラ
     | Water and Mortal Poison skyfall +15% for 1 turn + Absorb damage when damage >= 300,000,000 for 1 turn, Deal 300% damage
   | group:
     | (27161:83) Divine Grudge + Sanctuary's Divine Punishment
     | Bind awoken skills for 10 turns + Deal 800% damage (5 hits, 160% each), Deal 800% damage (5 hits, 160% each)
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1
     | (28301:83) 深き黒海 + サザンクロイル
     | Void damage >= 1,500,000,000 for 999 turns + Change board size to 6x5 for 10 turns
   | group:
   | condition: turn 2
     | (28304:83) 呪いの汚泥 + タイダルツイスト
     | Water and Poison skyfall +15% for 1 turn + Deal 300% damage (4 hits, 75% each), Deal 300% damage (4 hits, 75% each)
   | group:
   | condition: turn 3
     | (28306:83) 穢れた汚泥 + 前後不覚の水流
     | Water and Mortal Poison skyfall +15% for 1 turn + Change the 1st and 5th rows to Water orbs, Deal 300% damage
   | group:
   | condition: turn 4
     | (28304:83) 呪いの汚泥 + タイダルツイスト
     | Water and Poison skyfall +15% for 1 turn + Deal 300% damage (4 hits, 75% each), Deal 300% damage (4 hits, 75% each)
   | group:
   | condition: turn 5
     | (28306:83) 穢れた汚泥 + 前後不覚の水流
     | Water and Mortal Poison skyfall +15% for 1 turn + Change the 1st and 5th rows to Water orbs, Deal 300% damage
   | group:
   | condition: turn 6
     | (28304:83) 呪いの汚泥 + タイダルツイスト
     | Water and Poison skyfall +15% for 1 turn + Deal 300% damage (4 hits, 75% each), Deal 300% damage (4 hits, 75% each)
   | group:
   | condition: turn 7
     | (28306:83) 穢れた汚泥 + 前後不覚の水流
     | Water and Mortal Poison skyfall +15% for 1 turn + Change the 1st and 5th rows to Water orbs, Deal 300% damage
   | group:
   | condition: turn 8
     | (28304:83) 呪いの汚泥 + タイダルツイスト
     | Water and Poison skyfall +15% for 1 turn + Deal 300% damage (4 hits, 75% each), Deal 300% damage (4 hits, 75% each)
   | group:
   | condition: turn 9
     | (28306:83) 穢れた汚泥 + 前後不覚の水流
     | Water and Mortal Poison skyfall +15% for 1 turn + Change the 1st and 5th rows to Water orbs, Deal 300% damage
   | group:
   | condition: turn 10
     | (28304:83) 呪いの汚泥 + タイダルツイスト
     | Water and Poison skyfall +15% for 1 turn + Deal 300% damage (4 hits, 75% each), Deal 300% damage (4 hits, 75% each)
