#206091 - 煙怪龍・ジャルゴ
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 206091
approved: False

level: 1
 type: PASSIVE
 | (31459:129) ＿ジャルゴ超根性
 | Damage which would reduce HP from above 50% to below 50% is nullified
 type: PREEMPT
 | (31460:83) 邪界 + ポイズンスチーム + 這いずる千脚
 | Voids status ailments for 999 turns + Jammer and Poison skyfall +15% for 5 turns + Unable to match Jammer and Poison orbs for 5 turns
 group:
 | group:
   | group:
   | condition: turn 1 while HP > 49
     | (31464:83) 蟲毒 + ダーティフィールド
     | Bind awoken skills for 1 turn + Change the 1st column to Poison orbs and the 6th column to Jammer orbs, Deal 250% damage
   | group:
   | condition: turn 2 while HP > 49
     | (31467:83) ヒスタスピット + 痺毒
     | Change 5 random orbs to Poison orbs + Lock 15 random orbs, Deal 100% damage
   | group:
   | condition: turn 3 while HP > 49
     | (31470:83) ポイズンシャドー + 滅覚
     | Change all Light, Jammer, and Poison orbs to Dark orbs + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 4 while HP > 49
     | (31473:83) マッドデス + ポイズニング + 魂を喰らう百足
     | Change all orbs to Jammer + Change all orbs to Poison + Absorb damage when combos <= 9 for 1 turn, Deal 100% damage
   | group:
   | condition: turn 5 while HP > 49
     | (31464:83) 蟲毒 + ダーティフィールド
     | Bind awoken skills for 1 turn + Change the 1st column to Poison orbs and the 6th column to Jammer orbs, Deal 250% damage
   | group:
   | condition: turn 6 while HP > 49
     | (31467:83) ヒスタスピット + 痺毒
     | Change 5 random orbs to Poison orbs + Lock 15 random orbs, Deal 100% damage
   | group:
   | condition: turn 7 while HP > 49
     | (31470:83) ポイズンシャドー + 滅覚
     | Change all Light, Jammer, and Poison orbs to Dark orbs + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 8 while HP > 49
     | (31473:83) マッドデス + ポイズニング + 魂を喰らう百足
     | Change all orbs to Jammer + Change all orbs to Poison + Absorb damage when combos <= 9 for 1 turn, Deal 100% damage
   | group:
   | condition: turn 9 while HP > 49
     | (31464:83) 蟲毒 + ダーティフィールド
     | Bind awoken skills for 1 turn + Change the 1st column to Poison orbs and the 6th column to Jammer orbs, Deal 250% damage
   | group:
   | condition: turn 10 while HP > 49
     | (31467:83) ヒスタスピット + 痺毒
     | Change 5 random orbs to Poison orbs + Lock 15 random orbs, Deal 100% damage
   | group:
     | (27161:83) 神恨 + 聖跡の終天罰
     | Bind awoken skills for 10 turns + Deal 800% damage (5 hits, 160% each), Deal 800% damage (5 hits, 160% each)
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1
     | (31477:83) 転冥 + 不浄の檻 + ジャミングラルゴ
     | Leader changes to random sub for 1 turn + Change all orbs to Dark and Jammer + Change board size to 6x5 for 10 turns, Deal 30% damage
   | group:
   | condition: turn 2
     | (31481:83) 不浄の聖域 + ウィスパーカース
     | Void damage >= 1,500,000,000 for 999 turns + Dark skyfall +15% for 5 turns
   | group:
   | condition: turn 3
     | (31464:83) 蟲毒 + ダーティフィールド
     | Bind awoken skills for 1 turn + Change the 1st column to Poison orbs and the 6th column to Jammer orbs, Deal 250% damage
   | group:
   | condition: turn 4
     | (31467:83) ヒスタスピット + 痺毒
     | Change 5 random orbs to Poison orbs + Lock 15 random orbs, Deal 100% damage
   | group:
   | condition: turn 5
     | (31470:83) ポイズンシャドー + 滅覚
     | Change all Light, Jammer, and Poison orbs to Dark orbs + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 6
     | (31473:83) マッドデス + ポイズニング + 魂を喰らう百足
     | Change all orbs to Jammer + Change all orbs to Poison + Absorb damage when combos <= 9 for 1 turn, Deal 100% damage
   | group:
   | condition: turn 7
     | (31464:83) 蟲毒 + ダーティフィールド
     | Bind awoken skills for 1 turn + Change the 1st column to Poison orbs and the 6th column to Jammer orbs, Deal 250% damage
   | group:
   | condition: turn 8
     | (31467:83) ヒスタスピット + 痺毒
     | Change 5 random orbs to Poison orbs + Lock 15 random orbs, Deal 100% damage
   | group:
   | condition: turn 9
     | (31470:83) ポイズンシャドー + 滅覚
     | Change all Light, Jammer, and Poison orbs to Dark orbs + Movetime 50% for 1 turn, Deal 295% damage
   | group:
   | condition: turn 10
     | (31473:83) マッドデス + ポイズニング + 魂を喰らう百足
     | Change all orbs to Jammer + Change all orbs to Poison + Absorb damage when combos <= 9 for 1 turn, Deal 100% damage
