#207919 - 乾 貞治
monster size: 5
new AI: True
start/max counter: 2
counter increment: 0
monster_id: 207919
approved: False

level: 1
 type: PREEMPT
 | (29981:83) ラリー対決でのゾーン練習 + 5球凌げば勝ちだ + 1球目
 | Movetime 300% for 99 turns + Change all orbs to Fire + Spawn 4 random Water orbs
 group:
 | group:
 | condition: turn 1
   | (30432:83) やりなおそうか + 1球目
   | Change all orbs to Fire + Spawn 4 random Water orbs
   | (29985:83) 次…いくぞ + 2球目
   | Change all orbs to Fire + Spawn 5 random Water orbs
 | group:
 | condition: turn 2
   | (30433:83) やりなおそうか + 2球目
   | Change all orbs to Fire + Spawn 5 random Water orbs
   | (29987:83) 次…いくぞ + 3球目
   | Change all orbs to Fire + Spawn 6 random Water orbs
 | group:
 | condition: turn 3
   | (29996:50) 残念 ここまでだ
   | Player -500% HP
   | (29989:83) 次…いくぞ + 4球目
   | Change all orbs to Fire + Spawn 7 random Water orbs
 | group:
 | condition: turn 4
   | (29996:50) 残念 ここまでだ
   | Player -500% HP
   | (29991:83) これでラストだ + 5球目
   | Change all orbs to Fire + Spawn 8 random Water orbs
 | group:
   | (29996:50) 残念 ここまでだ
   | Player -500% HP
   | (29994:40) お見事
   | Reduce self HP to 0
 type: UNKNOWN_USE
 | (30434:83) やりなおそうか + 3球目
 | Change all orbs to Fire + Spawn 6 random Water orbs
 | (30435:83) やりなおそうか + 4球目
 | Change all orbs to Fire + Spawn 7 random Water orbs
 | (30436:83) やりなおそうか + 5球目
 | Change all orbs to Fire + Spawn 8 random Water orbs
 | (30439:83) やりなおそうか + 3球目
 | Fix orb movement starting point to random position on the board + Spawn 6 random Water orbs
 | (30440:83) やりなおそうか + 4球目
 | Fix orb movement starting point to random position on the board + Spawn 7 random Water orbs
 | (30441:83) やりなおそうか + 5球目
 | Fix orb movement starting point to random position on the board + Spawn 8 random Water orbs

level: 2
 type: PREEMPT
 | (29997:83) ラリー対決でのゾーン練習 + 5球凌げば勝ちだ + 1球目
 | Movetime 300% for 99 turns + Fix orb movement starting point to random position on the board + Spawn 4 random Water orbs
 group:
 | group:
 | condition: turn 1
   | (30437:83) やりなおそうか + 1球目
   | Fix orb movement starting point to random position on the board + Spawn 4 random Water orbs
   | (29999:83) 次…いくぞ + 2球目
   | Fix orb movement starting point to random position on the board + Spawn 5 random Water orbs
 | group:
 | condition: turn 2
   | (30438:83) やりなおそうか + 2球目
   | Fix orb movement starting point to random position on the board + Spawn 5 random Water orbs
   | (30001:83) 次…いくぞ + 3球目
   | Fix orb movement starting point to random position on the board + Spawn 6 random Water orbs
 | group:
 | condition: turn 3
   | (29996:50) 残念 ここまでだ
   | Player -500% HP
   | (30003:83) 次…いくぞ + 4球目
   | Fix orb movement starting point to random position on the board + Spawn 7 random Water orbs
 | group:
 | condition: turn 4
   | (29996:50) 残念 ここまでだ
   | Player -500% HP
   | (30005:83) これでラストだ + 5球目
   | Fix orb movement starting point to random position on the board + Spawn 8 random Water orbs
 | group:
   | (29996:50) 残念 ここまでだ
   | Player -500% HP
   | (29994:40) お見事
   | Reduce self HP to 0
 type: UNKNOWN_USE
 | (30434:83) やりなおそうか + 3球目
 | Change all orbs to Fire + Spawn 6 random Water orbs
 | (30435:83) やりなおそうか + 4球目
 | Change all orbs to Fire + Spawn 7 random Water orbs
 | (30436:83) やりなおそうか + 5球目
 | Change all orbs to Fire + Spawn 8 random Water orbs
 | (30439:83) やりなおそうか + 3球目
 | Fix orb movement starting point to random position on the board + Spawn 6 random Water orbs
 | (30440:83) やりなおそうか + 4球目
 | Fix orb movement starting point to random position on the board + Spawn 7 random Water orbs
 | (30441:83) やりなおそうか + 5球目
 | Fix orb movement starting point to random position on the board + Spawn 8 random Water orbs
