#302717 - White Rainbow Ark, Noah Dragon
monster size: 5
new AI: True
start/max counter: 15
counter increment: 0
monster_id: 302717
approved: False

level: 1
 type: PREEMPT
 | condition: 17% chance
 | (4159:83) Ark Scales + Sacred Boat Protective Walls + Blue Sky Rainbow
 | Voids status ailments for 999 turns + Void damage >= 5,000,000 for 99 turns + Absorb Fire and Light damage for 1 turn
 | condition: 17% chance
 | (4160:83) Ark Scales + Sacred Boat Protective Walls + Blue Sky Rainbow
 | Voids status ailments for 999 turns + Void damage >= 5,000,000 for 99 turns + Absorb Fire and Dark damage for 1 turn
 | condition: 17% chance
 | (4161:83) Ark Scales + Sacred Boat Protective Walls + Blue Sky Rainbow
 | Voids status ailments for 999 turns + Void damage >= 5,000,000 for 99 turns + Absorb Water and Light damage for 1 turn
 | condition: 17% chance
 | (4162:83) Ark Scales + Sacred Boat Protective Walls + Blue Sky Rainbow
 | Voids status ailments for 999 turns + Void damage >= 5,000,000 for 99 turns + Absorb Water and Dark damage for 1 turn
 | condition: 16% chance
 | (4163:83) Ark Scales + Sacred Boat Protective Walls + Blue Sky Rainbow
 | Voids status ailments for 999 turns + Void damage >= 5,000,000 for 99 turns + Absorb Wood and Light damage for 1 turn
 | condition: 16% chance
 | (4164:83) Ark Scales + Sacred Boat Protective Walls + Blue Sky Rainbow
 | Voids status ailments for 999 turns + Void damage >= 5,000,000 for 99 turns + Absorb Wood and Dark damage for 1 turn
 group:
 | group:
   | condition: 8% chance
   | (4171:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Fire and Light damage for 1 turn + Change a random attribute to Fire orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 8% chance
   | (4172:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Fire and Light damage for 1 turn + Change a random attribute to Light orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 8% chance
   | (4173:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Fire and Dark damage for 1 turn + Change a random attribute to Fire orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 8% chance
   | (4174:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Fire and Dark damage for 1 turn + Change a random attribute to Dark orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 9% chance
   | (4175:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Water and Light damage for 1 turn + Change a random attribute to Water orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 9% chance
   | (4176:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Water and Light damage for 1 turn + Change a random attribute to Light orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 9% chance
   | (4177:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Water and Dark damage for 1 turn + Change a random attribute to Water orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 9% chance
   | (4178:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Water and Dark damage for 1 turn + Change a random attribute to Dark orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 8% chance
   | (4179:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Wood and Light damage for 1 turn + Change a random attribute to Wood orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 8% chance
   | (4180:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Wood and Light damage for 1 turn + Change a random attribute to Light orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 8% chance
   | (4181:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Wood and Dark damage for 1 turn + Change a random attribute to Wood orbs + Bind 1 random sub for 1 turn, Deal 100% damage
   | condition: 8% chance
   | (4182:83) Blue Sky Rainbow + Prismatic Thunder + Stranded Sacrifice
   | Absorb Wood and Dark damage for 1 turn + Change a random attribute to Dark orbs + Bind 1 random sub for 1 turn, Deal 100% damage
 | group:
 | condition: turn 1 while HP > 9, hp <= 89
   | (4196:83) Retreating Ark + Fog Bow - Seal + First Judgement
   | Reduce damage from all sources by 75% for 1 turn + Bind active skills for 10 turns + Change all orbs to Fire, Water, Wood, Light, and Dark, Deal 450% damage
 | group:
 | condition: turn 2 while HP > 9, hp <= 69
   | (4197:83) Retreating Ark + Fog Bow - Haze + Second Judgement
   | Reduce damage from all sources by 75% for 1 turn + Blind all orbs on the board + Change all orbs to Fire, Water, Wood, Light, and Dark, Deal 600% damage
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 3 while HP > 9
     | (4198:83) Retreating Ark + Fog Bow - Gaze + Third Judgement
     | Reduce damage from all sources by 75% for 1 turn + Delay active skills by 5 turns + Deal 1,200% damage (3 hits, 400% each), Deal 1,200% damage (3 hits, 400% each)
   | group:
     | (4184:83) Rainbow Blank + Stranded Sacrifice + Ark Impact
     | Change a random attribute to Jammer orbs + Bind 1 random sub for 1 turn + Player -99% HP, Deal 150% damage
 | group:
 | condition: turn 4 while HP > 9, hp <= 29
   | (4199:83) Retreating Ark + Fog Bow - Graze + Fourth Judgement
   | Reduce damage from all sources by 75% for 1 turn + Bind awoken skills for 2 turns + Change all orbs to Fire, Water, Wood, Light, and Dark, Deal 2,000% damage
 | group:
 | condition: hp <= 9
   | (4200:83) Retreating Ark + Fog Bow - Purge + Final Judgement
   | Reduce damage from all sources by 75% for 1 turn + Voids player buff effects + Deal 3,000% damage (3 hits, 1,000% each), Deal 3,000% damage (3 hits, 1,000% each)
