#304576 - True Guardian of the Water City, Athena
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 304576
approved: False

level: 1
 type: PASSIVE
 | (39731:72) Dark reduced
 | Reduce damage from Dark attrs by 50%
 type: PREEMPT
 | (39896:83) Guardian Deity's Blessing + Deep Slumber + Water City's Ephemerality
 | Voids status ailments for 999 turns + Specific orbs change every 1.0s for 1 turn + Void damage >= 500,000,000 for 7 turns
 group:
 | group:
   | group:
   | condition: turn 1 while HP > 49
     | (39903:83) Guardian Deity's Prayer + Deep Slumber + Apollo's Surge
     | No skyfall for 1 turn + Specific orbs change every 0.5s for 1 turn + Change all orbs to Water and Wood, Deal 125% damage
   | group:
   | condition: turns 2-6 while HP > 2
     | condition: 50% chance
     | (39911:83) Ripples of the Divine Spear + Pure Light on the Water's Surface
     | Change the 3rd column to Wood orbs and the 4th column to Water orbs + No description set, Deal 100% damage
     | condition: 50% chance
     | (39914:83) Ripples of the Divine Spear + Pure Light on the Water's Surface
     | Change the 1st column to Wood orbs and the 6th column to Water orbs + No description set, Deal 100% damage
   | group:
     | (39739:83) Azure Sky Surge + Thousandfold Demise
     | Bind awoken skills for 1 turn + Deal 5,000% damage (5 hits, 1,000% each), Deal 5,000% damage (5 hits, 1,000% each)
 | group:
 | condition: turn 1 while HP > 2, hp <= 49
   | (39907:83) Guardian Deity's Wrath + Deep Slumber + Apollo's Surge
   | Increase damage to 150% for the next 999 turns + Specific orbs change every 0.5s for 1 turn + Change all orbs to Water and Wood, Deal 100% damage
 | group:
 | condition: turns 1-6, hp <= 2
   | (39900:83) Vow to End the War + Nike's Apteros - Roar
   | Bind awoken skills for 1 turn + Deal 1,000% damage (8 hits, 125% each), Deal 1,000% damage (8 hits, 125% each)
