#305393 - Super Reincarnated Sakuya
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 305393
approved: False

level: 1
 type: PASSIVE
 | (34043:73) Resolve
 | Survive attacks with 1 HP when HP > 50%
 type: PREEMPT
 | (34112:83) Waltz of the Kirin + Time-Restricting Dance + Cannon of the Four Origins
 | Absorb damage when damage >= 2,000,000,000 for 6 turns + Movetime 25% for 1 turn + Locked random skyfall +100% for 1 turn
 group:
 | group:
   | group:
   | condition: turns 1-5 while HP > 49
     | condition: 50% chance
     | (34121:83) Flame Streaker Dual Mace + Raging Flash Rumble
     | Change the 6th column to Water orbs and the 1st column to Light orbs + A 2×2 square of clouds appears for 1 turn at a random location, Deal 50% damage
     | condition: 50% chance
     | (34124:83) Flame Streaker Dual Mace + Raging Flash Rumble
     | Change the 1st column to Water orbs and the 6th column to Light orbs + Seal the 5th row for 1 turn, Deal 50% damage
   | group:
     | (34044:83) Cosmic Wave + Cosmic Destruction
     | Bind awoken skills for 1 turn + Deal 5,000% damage (5 hits, 1,000% each), Deal 5,000% damage (5 hits, 1,000% each)
 | group:
 | condition: turn 1, hp <= 49
   | (34117:83) True Spirit of the Kirin Goddess + Time-Restricting Dance + Raging Flash Rumble
   | Voids status ailments for 999 turns + Movetime 50% for 3 turns + A 6×2 rectangle of clouds appears for 1 turn at a random location, Deal 100% damage
