#305975 - Evil-Warding Dragon Wizard, Hermei
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 305975
approved: False

level: 1
 type: PASSIVE
 | (39630:129) Super Resolve
 | Damage which would reduce HP from above 50% to below 50% is nullified
 type: PREEMPT
 | (39604:83) Hoho! + You've come quite far! + Zone of Black Thunder
 | Voids status ailments for 999 turns + Absorb damage when damage >= 1,000,000,000 for 10 turns + For 10 turns, 15% chance for skyfall orbs to be blinded for turn
 group:
 | group:
   | group:
   | condition: turns 1-9 while HP > 49
     | condition: 25% chance
     | (39617:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 6 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
     | condition: 25% chance
     | (39620:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 7 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
     | condition: 25% chance
     | (39623:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 8 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
     | condition: 25% chance
     | (39626:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 9 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
   | group:
   | condition: turn 10 while HP > 49
     | (39608:83) Hmm, not bad. + It's time I get serious! + Black Thunderbolt
     | Reduce damage from all sources by 75% for 999 turns + Leader changes to random sub for 1 turn + For 1 turn, 1% ATK for both leaders, Deal 150% damage
   | group:
     | condition: 25% chance
     | (39617:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 6 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
     | condition: 25% chance
     | (39620:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 7 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
     | condition: 25% chance
     | (39623:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 8 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
     | condition: 25% chance
     | (39626:83) Imbue with Sacred Relic, Trinitas + Black Thunderbolt
     | Absorb damage when combos <= 9 for 1 turn + For 1 turn, 25% ATK for 2 random cards, Deal 100% damage
 | group:
 | condition: turn 1 while HP > 9, hp <= 49
   | (39608:83) Hmm, not bad. + It's time I get serious! + Black Thunderbolt
   | Reduce damage from all sources by 75% for 999 turns + Leader changes to random sub for 1 turn + For 1 turn, 1% ATK for both leaders, Deal 150% damage
 | group:
 | condition: hp <= 9
   | group:
   | condition: turn 1
     | (39612:83) Hoho! + It looks like I'm in a predicament. + I will use all of my power!
     | For 1 turn, 1% ATK for 4 random subs + Bind awoken skills for 1 turn + Increase damage to 1,000% for the next 999 turns
   | group:
     | (39616:15) Lightning of Darkness
     | Deal 1,000% damage (10 hits, 100% each)
