#306519 - Peacock Queen, Yurisha
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 306519
approved: False

level: 1
 type: PASSIVE
 | (31387:73) Resolve
 | Survive attacks with 1 HP when HP > 50%
 type: PREEMPT
 | (32419:83) Peacock's Protection + Fulfillment's Feather + Vow's Formation
 | Voids status ailments for 999 turns + For 1 turn, 30% chance for skyfall orbs to be blinded for turn + Absorb damage when combos <= 9 for 4 turns
 group:
 | group:
 | condition: always turn 4
   | (32427:83) Lotus Flame of Resurrection + Fulfillment's Feather + Peacock's Iron Wall
   | Enemy recover 100% HP + For 1 turn, 35% chance for skyfall orbs to be blinded for turn + Reduce damage from all sources by 50% for 6 turns
 | group:
   | group:
   | condition: turns 1-3 while HP > 49
     | condition: 50% chance
     | (32431:83) Eyespots + Purifying Flames of Change
     | Blind orbs in specific positions for 1 turn + Change the 1st column to Fire and Jammer orbs, Deal 100% damage
     | condition: 50% chance
     | (32434:83) Eyespots + Purifying Darkness of Change
     | Blind orbs in specific positions for 1 turn + Change the 6th column to Dark and Jammer orbs, Deal 100% damage
   | group:
   | condition: turns 5-9 while HP > 2
     | condition: 50% chance
     | (32431:83) Eyespots + Purifying Flames of Change
     | Blind orbs in specific positions for 1 turn + Change the 1st column to Fire and Jammer orbs, Deal 100% damage
     | condition: 50% chance
     | (32434:83) Eyespots + Purifying Darkness of Change
     | Blind orbs in specific positions for 1 turn + Change the 6th column to Dark and Jammer orbs, Deal 100% damage
   | group:
     | (32438:83) Peacock Pulse + Peacock's Great Upheaval
     | Bind awoken skills for 1 turn + Deal 1,000% damage (10 hits, 100% each), Deal 1,000% damage (10 hits, 100% each)
 | group:
 | condition: turn 1 while HP > 2, hp <= 49
   | (32423:83) Peacock Barricade + Eyespots + Purification of Change
   | Void damage >= 2,000,000,000 for 999 turns + Blind orbs in specific positions for 1 turn + Change all orbs to Fire, Dark, Heal, Jammer, and Poison, Deal 100% damage
 | group:
 | condition: turns 1-3, hp <= 2
   | (32438:83) Peacock Pulse + Peacock's Great Upheaval
   | Bind awoken skills for 1 turn + Deal 1,000% damage (10 hits, 100% each), Deal 1,000% damage (10 hits, 100% each)
