#3118 - Unprecedented Surfer, Ishikawa Goemon
monster size: 5
new AI: True
start/max counter: 1
counter increment: 0
monster_id: 3118
approved: False

level: 1
 group:
 | group:
 | condition: always turn 1
   | (14270:83) Huge Wave + Let's Ride the Heat Wave! + Aerial
   | Bind awoken skills for 2 turns + Spawn 22 random Fire and Water orbs + Absorb damage when combos <= 6 for 1 turn
 | group:
   | condition: 50% chance
   | (14271:77) WAV Cut Back
   | Change the 1st column to Water orbs, Deal 100% damage
   | (14272:79) Heavenly Off the Lip
   | Change the 1st row to Fire orbs, Deal 100% damage
 | group:
 | condition: hp <= 19
   | condition: 50% chance
   | (14273:15) Spectacular Rodeo Flip
   | Deal 150% damage (3 hits, 50% each)
   | condition: 50% chance
   | (14271:77) WAV Cut Back
   | Change the 1st column to Water orbs, Deal 100% damage
   | (14272:79) Heavenly Off the Lip
   | Change the 1st row to Fire orbs, Deal 100% damage

level: 4
 type: PREEMPT
 | (14270:83) Huge Wave + Let's Ride the Heat Wave! + Aerial
 | Bind awoken skills for 2 turns + Spawn 22 random Fire and Water orbs + Absorb damage when combos <= 6 for 1 turn
 group:
 | group:
   | condition: 50% chance
   | (14271:77) WAV Cut Back
   | Change the 1st column to Water orbs, Deal 100% damage
   | (14272:79) Heavenly Off the Lip
   | Change the 1st row to Fire orbs, Deal 100% damage
 | group:
 | condition: hp <= 19
   | condition: 50% chance
   | (14273:15) Spectacular Rodeo Flip
   | Deal 150% damage (3 hits, 50% each)
   | condition: 50% chance
   | (14271:77) WAV Cut Back
   | Change the 1st column to Water orbs, Deal 100% damage
   | (14272:79) Heavenly Off the Lip
   | Change the 1st row to Fire orbs, Deal 100% damage
