#3420 - Karuta Queen, Jeanne d'Arc
monster size: 5
new AI: True
start/max counter: 1
counter increment: 0
monster_id: 3420
approved: False

level: 1
 type: PREEMPT
 | (16093:83) Oh no you don't♪ + Hey! + Draw One
 | Fix orb movement starting point to random position on the board + Do nothing + Delay active skills by 1 turn
 group:
 | condition: 33% chance
 | (16097:83) Moving Swiftly♪ + Hey!
 | Fix orb movement starting point to random position on the board + Deal 100% damage, Deal 100% damage
 | condition: 33% chance
 | (16098:83) In the autumn fields♪ + Hey!
 | Fix orb movement starting point to random position on the board + Deal 100% damage, Deal 100% damage
 | condition: 34% chance
 | (16099:83) The gentle wind beckons♪ + Hey!
 | Fix orb movement starting point to random position on the board + Deal 100% damage, Deal 100% damage
