#3722 - Water Orb Dragon, Senja
monster size: 5
new AI: True
start/max counter: 3
counter increment: 1
monster_id: 3722
approved: False

level: 4
 type: PREEMPT
 | (7487:83) Abyssal Scales + Vehement Sea Fog + Oceanic Obstruction
 | Reduce damage from all sources by 50% for 5 turns + A 6×2 rectangle of clouds appears for 1 turn at 3rd row, 1st column + Spawn 11 random Jammer orbs
 group:
 | group:
   | group:
   | condition: turn 1 while HP > 19
     | (7492:83) Mariner's Divine Protection + Outbreak
     | Absorb damage when combos <= 6 for 10 turns + Change all Jammer orbs to Poison orbs, Deal 250% damage
   | group:
   | condition: turn 2 while HP > 19
     | (7495:89) Roaring Deluge
     | Delay active skills by 2 turns, Deal 120% damage
   | group:
   | condition: turn 3 while HP > 19
     | (7496:48) Bubble Bloom
     | Change all Heal orbs to Water orbs, Deal 130% damage
     | (7497:50) Depth Charge
     | Player -90% HP
   | group:
   | condition: turn 4 while HP > 19
     | (7495:89) Roaring Deluge
     | Delay active skills by 2 turns, Deal 120% damage
   | group:
   | condition: turn 5 while HP > 19
     | (7493:17) Resentful Stare
     | Increase damage to 150% for the next 999 turns
   | group:
   | condition: execute repeatedly, turn 1 of 8
     | (7496:48) Bubble Bloom
     | Change all Heal orbs to Water orbs, Deal 130% damage
     | (7497:50) Depth Charge
     | Player -90% HP
   | group:
   | condition: execute repeatedly, turn 2 of 8
     | (7495:89) Roaring Deluge
     | Delay active skills by 2 turns, Deal 120% damage
   | group:
   | condition: execute repeatedly, turn 3 of 8
     | (7496:48) Bubble Bloom
     | Change all Heal orbs to Water orbs, Deal 130% damage
     | (7497:50) Depth Charge
     | Player -90% HP
   | group:
   | condition: execute repeatedly, turn 4 of 8
     | (7494:74) Abyssal Scales
     | Reduce damage from all sources by 75% for 4 turns
   | group:
   | condition: execute repeatedly, turn 5 of 8
     | (7495:89) Roaring Deluge
     | Delay active skills by 2 turns, Deal 120% damage
   | group:
   | condition: execute repeatedly, turn 6 of 8
     | (7496:48) Bubble Bloom
     | Change all Heal orbs to Water orbs, Deal 130% damage
     | (7497:50) Depth Charge
     | Player -90% HP
   | group:
   | condition: execute repeatedly, turn 7 of 8
     | (7495:89) Roaring Deluge
     | Delay active skills by 2 turns, Deal 120% damage
   | group:
   | condition: execute repeatedly, turn 8 of 8
     | (7494:74) Abyssal Scales
     | Reduce damage from all sources by 75% for 4 turns
 | group:
 | condition: hp <= 19
   | group:
   | condition: turn 1
     | (7498:88) Senja's Sight
     | Bind awoken skills for 5 turns
   | group:
     | (7499:85) Raging River Peal
     | Change all orbs to Water and Jammer, Deal 3,000% damage
