#4771 - Kotarou Katsura
monster size: 5
new AI: True
start/max counter: 1
counter increment: 0
monster_id: 4771
approved: False

level: 1
 group:
 | group:
 | condition: always turn 1
   | (16900:15) It's not Zura. It's Katsura! 
   | Deal 50% damage (2 hits, 25% each)
 | group:
   | condition: 50% chance
   | (16902:15) It's my turn now.
   | Deal 101% damage
   | (16901:92) Let's go, Elizabeth!
   | Spawn 3 random Water orbs, Deal 95% damage
 | group:
 | condition: hp <= 29
   | group:
   | condition: turn 2
     | (16903:74) I won't run anywhere again.
     | Reduce damage from all sources by 30% for 3 turns
   | group:
     | (16904:15) I'm not Katsura. I'm Zura!
     | Deal 120% damage (3 hits, 40% each)

level: 4
 type: PREEMPT
 | (16900:15) It's not Zura. It's Katsura! 
 | Deal 50% damage (2 hits, 25% each)
 group:
 | group:
   | condition: 50% chance
   | (16902:15) It's my turn now.
   | Deal 101% damage
   | (16901:92) Let's go, Elizabeth!
   | Spawn 3 random Water orbs, Deal 95% damage
 | group:
 | condition: hp <= 29
   | group:
   | condition: turn 1
     | (16903:74) I won't run anywhere again.
     | Reduce damage from all sources by 30% for 3 turns
   | group:
     | (16904:15) I'm not Katsura. I'm Zura!
     | Deal 120% damage (3 hits, 40% each)
