#5695 - 速杉ハヤト＆Ｅ５はやぶさ ＭｋII
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 5695
approved: False

level: 1
 type: PREEMPT
 | (15268:83) チェンジ、シンカリオン！ + 行くぞ！
 | Movetime -2s for 5 turns + Absorb damage when damage >= 7,000,000 for 9 turns
 group:
 | group:
   | group:
   | condition: turn 1 while HP > 19
     | (15197:50) 止まるわけにはいかない！
     | Player -50% HP
   | group:
   | condition: execute repeatedly, turn 1-4 of 6
     | (15198:77) カイサツブレード
     | Change the 3rd column to Wood orbs and the 4th column to Wood orbs, Deal 175% damage
   | group:
   | condition: execute repeatedly, turn 5 of 6
     | (15200:67) 行くよシャショット！
     | Absorb damage when combos <= 7 for 3 turns
   | group:
   | condition: execute repeatedly, turn 6 of 6
     | (15198:77) カイサツブレード
     | Change the 3rd column to Wood orbs and the 4th column to Wood orbs, Deal 175% damage
 | group:
 | condition: hp <= 19
   | group:
   | condition: turn 1
     | (15199:74) 俺達に破滅なんてない
     | Reduce damage from all sources by 75% for 3 turns
   | group:
   | condition: execute repeatedly, turn 1-4 of 6
     | (15201:79) デュアルグランクロス！
     | Change the 2nd row to Wood orbs, the 3rd row to Light orbs, and the 4th row to Wood orbs, Deal 1,000% damage
   | group:
   | condition: execute repeatedly, turn 5 of 6
     | (15200:67) 行くよシャショット！
     | Absorb damage when combos <= 7 for 3 turns
   | group:
   | condition: execute repeatedly, turn 6 of 6
     | (15201:79) デュアルグランクロス！
     | Change the 2nd row to Wood orbs, the 3rd row to Light orbs, and the 4th row to Wood orbs, Deal 1,000% damage
