#5747 - Awoken Aife
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 5747
approved: False

level: 1
 type: PASSIVE
 | (19102:73) Resolve
 | Survive attacks with 1 HP when HP > 50%
 type: PREEMPT
 | (19149:83) Heart Eraser + Blue Sword Flow Dance + Whirling Cold Blade
 | Unable to match Heal orbs for 1 turn + Void damage >= 20,000,000 for 999 turns + Lock all orbs, Deal 97% damage
 group:
 | group:
   | condition: 33% chance
   | (19115:85) Drifting Ice Waltz
   | Change all orbs to Water, Wood, and Light, Deal 100% damage
   | condition: 33% chance
   | (19116:46) Blue Shearing Wave Sword
   | Change own attribute to random one of Fire, Water, Wood, Light, or Dark, Deal 95% damage
   | condition: 34% chance
   | (19114:94) Whirling Cold Blade
   | Lock all orbs, Deal 97% damage
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1
     | (19110:83) Warrior Goddess' Barrier + Time Division + Drifting Ice Waltz
     | Reduce damage from all sources by 75% for 999 turns + Movetime -4s for 99 turns + Change all orbs to Water, Wood, and Light, Deal 200% damage
   | group:
     | condition: 20% chance
     | (19127:107) Fire Eraser
     | Unable to match Fire orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19128:107) Aqua Eraser
     | Unable to match Water orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19129:107) Tree Eraser
     | Unable to match Wood orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19130:107) Light Eraser
     | Unable to match Light orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19131:107) Dark Eraser
     | Unable to match Dark orbs for 1 turn, Deal 100% damage
 | group:
 | condition: hp <= 1
   | group:
   | condition: turn 1
     | (19106:83) Against the Odds + Skill Release + Aqua Impact
     | Bind awoken skills for 5 turns + Delay active skills by 10 turns + Player -1,000% HP
   | group:
     | (19109:50) Aqua Impact
     | Player -1,000% HP

level: 6
 type: PASSIVE
 | (19102:73) Resolve
 | Survive attacks with 1 HP when HP > 50%
 type: PREEMPT
 | (19103:83) Heart Eraser + Blue Sword Flow Dance + Whirling Cold Blade
 | Unable to match Heal orbs for 3 turns + Void damage >= 20,000,000 for 999 turns + Lock all orbs, Deal 97% damage
 group:
 | group:
   | condition: 30% chance
   | (19115:85) Drifting Ice Waltz
   | Change all orbs to Water, Wood, and Light, Deal 100% damage
   | condition: 35% chance
   | (19116:46) Blue Shearing Wave Sword
   | Change own attribute to random one of Fire, Water, Wood, Light, or Dark, Deal 95% damage
   | condition: 35% chance
   | (19114:94) Whirling Cold Blade
   | Lock all orbs, Deal 97% damage
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1
     | (19110:83) Warrior Goddess' Barrier + Time Division + Drifting Ice Waltz
     | Reduce damage from all sources by 75% for 999 turns + Movetime -4s for 99 turns + Change all orbs to Water, Wood, and Light, Deal 200% damage
   | group:
     | condition: 20% chance
     | (19127:107) Fire Eraser
     | Unable to match Fire orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19128:107) Aqua Eraser
     | Unable to match Water orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19129:107) Tree Eraser
     | Unable to match Wood orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19130:107) Light Eraser
     | Unable to match Light orbs for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (19131:107) Dark Eraser
     | Unable to match Dark orbs for 1 turn, Deal 100% damage
 | group:
 | condition: hp <= 1
   | group:
   | condition: turn 1
     | (19106:83) Against the Odds + Skill Release + Aqua Impact
     | Bind awoken skills for 5 turns + Delay active skills by 10 turns + Player -1,000% HP
   | group:
     | (19109:50) Aqua Impact
     | Player -1,000% HP
