#5748 - Awoken Dagda
monster size: 5
new AI: True
start/max counter: 255
counter increment: 0
monster_id: 5748
approved: False

level: 1
 type: PASSIVE
 | (38217:129) Super Resolve
 | Damage which would reduce HP from above 50% to below 50% is nullified
 type: PREEMPT
 | (38177:83) Spirit of the God of Great Knowledge + Recovery Club + Trap of the God of Great Knowledge + Club Power
 | Voids status ailments for 999 turns + Immune to damage from all sources for 999 turns + Random 1 orbs change every 1.0s for 8 turns + Increase damage to 500% for the next 1 turn
 group:
 | group:
 | condition: turn 1
   | (38182:83) ...Come anytime. + Cauldron's Motive + Cauldron's Magic Power + Recovery Storm
   | Remove damage immunity effect + Reduce damage from all sources by 90% for 1 turn + Change own attribute to random one of Fire, Water, Wood, Light, or Dark + Deal 400% damage (4 hits, 100% each), Deal 400% damage (4 hits, 100% each)
 | group:
 | condition: turn 2
   | (38187:83) Recovery Club + Trap of the God of Great Knowledge + Club Power
   | Immune to damage from all sources for 999 turns + Seal the 5th row for 6 turns + Increase damage to 500% for the next 1 turn
 | group:
 | condition: turn 3
   | (38191:83) ...Come anytime. + Cauldron's Motive + Cauldron's Magic Power + Recovery Storm
   | Remove damage immunity effect + Reduce damage from all sources by 80% for 1 turn + Change own attribute to random one of Fire, Water, Wood, Light, or Dark + Deal 440% damage (4 hits, 110% each), Deal 440% damage (4 hits, 110% each)
 | group:
 | condition: turn 4
   | (38196:83) Recovery Club + Trap of the God of Great Knowledge + Club Power
   | Immune to damage from all sources for 999 turns + A row of clouds appears for 4 turns at 1st row, 1st column + Increase damage to 500% for the next 1 turn
 | group:
 | condition: turn 5
   | (38200:83) ...Come anytime. + Cauldron's Motive + Cauldron's Magic Power + Recovery Storm
   | Remove damage immunity effect + Reduce damage from all sources by 75% for 1 turn + Change own attribute to random one of Fire, Water, Wood, Light, or Dark + Deal 480% damage (4 hits, 120% each), Deal 480% damage (4 hits, 120% each)
 | group:
 | condition: turn 6
   | (38205:83) Recovery Club + Trap of the God of Great Knowledge + Club Power
   | Immune to damage from all sources for 999 turns + Leader changes to random sub for 2 turns + Increase damage to 500% for the next 999 turns
 | group:
 | condition: turn 7
   | (38209:83) ...Come anytime. + Cauldron's Motive + Cauldron's Magic Power + Recovery Storm
   | Remove damage immunity effect + Reduce damage from all sources by 50% for 99 turns + Change own attribute to random one of Fire, Water, Wood, Light, or Dark + Deal 520% damage (4 hits, 130% each), Deal 520% damage (4 hits, 130% each)
 | group:
   | (38214:83) Cauldron's Magic Power + Recovery Storm
   | Change own attribute to random one of Fire, Water, Wood, Light, or Dark + Deal 1,200% damage (6 hits, 200% each), Deal 1,200% damage (6 hits, 200% each)
