#607024 - Alt. Hellstar Dragon, Hexazeon
monster size: 5
new AI: True
start/max counter: 15
counter increment: 0
monster_id: 607024
approved: False

level: 1
 type: PREEMPT
 | (22401:119) He's protected from damage by the Augites
 | Immune to damage from all sources for 999 turns
 group:
 | group:
 | condition: always turns 1-3
   | (22409:83) All Augites have been shattered + Constriction
   | Remove damage immunity effect + Lock all orbs
 | group:
 | condition: always turn 9
   | (22677:15) Six Skies: Phantasmic Wave of Carnage
   | Deal 100% damage
 | group:
 | condition: always turn 15
   | (22678:15) Six Skies: Phantasmic Wave of Carnage
   | Deal 105% damage
 | group:
   | group:
   | condition: turns 4-8 while HP > 49
     | condition: 20% chance
     | (22689:109) Empty Teachings
     | Random 2 orbs change every 1.0s for 1 turn, Deal 110% damage
     | condition: 20% chance
     | (22690:105) Reduction
     | RCV 50% for 1 turn, Deal 95% damage
     | condition: 20% chance
     | (22691:39) Deprivation
     | Movetime 50% for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (22412:94) Constriction
     | Lock 15 random orbs, Deal 105% damage
     | condition: 20% chance
     | (22413:15) Hexray
     | Deal 120% damage (6 hits, 20% each)
   | group:
   | condition: turns 10-14 while HP > 49
     | condition: 20% chance
     | (22689:109) Empty Teachings
     | Random 2 orbs change every 1.0s for 1 turn, Deal 110% damage
     | condition: 20% chance
     | (22690:105) Reduction
     | RCV 50% for 1 turn, Deal 95% damage
     | condition: 20% chance
     | (22691:39) Deprivation
     | Movetime 50% for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (22412:94) Constriction
     | Lock 15 random orbs, Deal 105% damage
     | condition: 20% chance
     | (22413:15) Hexray
     | Deal 120% damage (6 hits, 20% each)
   | group:
     | condition: 20% chance
     | (22689:109) Empty Teachings
     | Random 2 orbs change every 1.0s for 1 turn, Deal 110% damage
     | condition: 20% chance
     | (22690:105) Reduction
     | RCV 50% for 1 turn, Deal 95% damage
     | condition: 20% chance
     | (22691:39) Deprivation
     | Movetime 50% for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (22412:94) Constriction
     | Lock 15 random orbs, Deal 105% damage
     | condition: 20% chance
     | (22413:15) Hexray
     | Deal 120% damage (6 hits, 20% each)
 | group:
 | condition: hp <= 49
   | group:
   | condition: always turn 4
     | (33933:83) Barbed Chain Cage + Shadow Deeds + Impale + Flash
     | Bind awoken skills for 1 turn + For 15 turns, 20% chance for skyfall orbs to be blinded for turn + Player -360% HP + Deal 40% damage, Deal 40% damage
   | group:
   | condition: always turns 5-8
     | condition: 20% chance
     | (22469:83) Transformation + Empty Teachings
     | Change own attribute to random one of Fire, Water, or Wood + Random 2 orbs change every 1.0s for 1 turn, Deal 110% damage
     | condition: 20% chance
     | (22470:83) Transformation + Reduction
     | Change own attribute to random one of Fire, Water, or Wood + RCV 50% for 1 turn, Deal 95% damage
     | condition: 20% chance
     | (22471:83) Transformation + Deprivation
     | Change own attribute to random one of Fire, Water, or Wood + Movetime 50% for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (22472:83) Transformation + Constriction
     | Change own attribute to random one of Fire, Water, or Wood + Lock 15 random orbs, Deal 105% damage
     | condition: 20% chance
     | (22473:83) Transformation + Hexray
     | Change own attribute to random one of Fire, Water, or Wood + Deal 120% damage (6 hits, 20% each), Deal 120% damage (6 hits, 20% each)
   | group:
   | condition: always turns 10-14
     | condition: 20% chance
     | (22469:83) Transformation + Empty Teachings
     | Change own attribute to random one of Fire, Water, or Wood + Random 2 orbs change every 1.0s for 1 turn, Deal 110% damage
     | condition: 20% chance
     | (22470:83) Transformation + Reduction
     | Change own attribute to random one of Fire, Water, or Wood + RCV 50% for 1 turn, Deal 95% damage
     | condition: 20% chance
     | (22471:83) Transformation + Deprivation
     | Change own attribute to random one of Fire, Water, or Wood + Movetime 50% for 1 turn, Deal 100% damage
     | condition: 20% chance
     | (22472:83) Transformation + Constriction
     | Change own attribute to random one of Fire, Water, or Wood + Lock 15 random orbs, Deal 105% damage
     | condition: 20% chance
     | (22473:83) Transformation + Hexray
     | Change own attribute to random one of Fire, Water, or Wood + Deal 120% damage (6 hits, 20% each), Deal 120% damage (6 hits, 20% each)
   | group:
     | condition: 20% chance
     | (22469:83) Transformation + Empty Teachings
     | Change own attribute to random one of Fire, Water, or Wood + Random 2 orbs change every 1.0s for 1 turn, Deal 110% damage
     | condition: 20% chance
