#6412 - Deadly Sin Dragon King of Greed, Rhamamoa
monster size: 5
new AI: True
start/max counter: 31
counter increment: 0
monster_id: 6412
approved: False

level: 1
 type: PREEMPT
 | (18886:88) Avaricious Scheme
 | Bind awoken skills for 5 turns
 | (18931:83) Avaricious Scheme + Wretched Light
 | Bind awoken skills for 5 turns + Change all Heal orbs to Light orbs, Deal 80% damage
 group:
 | group:
 | condition: turn 1
   | (18887:92) Treacherous Trap
   | Spawn 10 random Poison orbs
 | group:
 | condition: turn 2
   | (18888:97) Treasure Trap
   | Blind random 15 orbs for 3 turns
 | group:
 | condition: turn 3
   | (18889:92) Treacherous Trap
   | Spawn 10 random Mortal Poison orbs
 | group:
 | condition: turn 4
   | (18890:104) Treasure Trap
   | A row of clouds appears for 1 turn at 1st row, 1st column
 | group:
   | (18891:15) Unfettered Greed
   | Deal 280% damage (4 hits, 70% each)

level: 6
 type: PREEMPT
 | (18931:83) Avaricious Scheme + Wretched Light
 | Bind awoken skills for 5 turns + Change all Heal orbs to Light orbs, Deal 80% damage
 group:
 | group:
 | condition: turn 1
   | (18887:92) Treacherous Trap
   | Spawn 10 random Poison orbs
 | group:
 | condition: turn 2
   | (18888:97) Treasure Trap
   | Blind random 15 orbs for 3 turns
 | group:
 | condition: turn 3
   | (18889:92) Treacherous Trap
   | Spawn 10 random Mortal Poison orbs
 | group:
 | condition: turn 4
   | (18890:104) Treasure Trap
   | A row of clouds appears for 1 turn at 1st row, 1st column
 | group:
   | (18891:15) Unfettered Greed
   | Deal 280% damage (4 hits, 70% each)
