#7880 - Ryoma Echizen
monster size: 5
new AI: True
start/max counter: 3
counter increment: 0
monster_id: 7880
approved: False

level: 1
 type: PASSIVE
 | (30245:118) Attacker Type Halved
 | Reduce damage from Attacker types by 50%
 | (30246:129) Super Resolve
 | Damage which would reduce HP from above 50% to below 50% is nullified
 type: PREEMPT
 | (30232:83) Let's go! + Twist Serve
 | Voids status ailments for 999 turns + Specific orbs change every 1.0s for 4 turns
 group:
 | group:
 | condition: always turn 4
   | (30235:74) Oh? You're better than I thought.
   | Reduce damage from all sources by 50% for 10 turns
 | group:
   | group:
   | condition: turn 1 while HP > 49
     | (30243:79) Drive A
     | Change the 1st row to Fire orbs, Deal 100% damage
   | group:
   | condition: turn 2 while HP > 49
     | (30244:77) Drive B
     | Change the 1st column to Fire orbs and the 6th column to Water orbs, Deal 100% damage
   | group:
   | condition: turn 3 while HP > 49
     | (30242:79) COOL Drive
     | Change the 4th row to Fire orbs and the 5th row to Water orbs, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (30243:79) Drive A
     | Change the 1st row to Fire orbs, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | (30244:77) Drive B
     | Change the 1st column to Fire orbs and the 6th column to Water orbs, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (30242:79) COOL Drive
     | Change the 4th row to Fire orbs and the 5th row to Water orbs, Deal 100% damage
 | group:
 | condition: hp <= 49
   | group:
   | condition: turn 1 while HP > 14
     | (30240:83) Sure you don't need to face front? + COOL Drive
     | Blind all orbs on the board + Change the 4th row to Fire orbs and the 5th row to Water orbs, Deal 100% damage
   | group:
   | condition: turn 2 while HP > 14
     | (30243:79) Drive A
     | Change the 1st row to Fire orbs, Deal 100% damage
   | group:
   | condition: turn 3 while HP > 14
     | (30244:77) Drive B
     | Change the 1st column to Fire orbs and the 6th column to Water orbs, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 1 of 3
     | (30242:79) COOL Drive
     | Change the 4th row to Fire orbs and the 5th row to Water orbs, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 2 of 3
     | (30243:79) Drive A
     | Change the 1st row to Fire orbs, Deal 100% damage
   | group:
   | condition: execute repeatedly, turn 3 of 3
     | (30244:77) Drive B
     | Change the 1st column to Fire orbs and the 6th column to Water orbs, Deal 100% damage
 | group:
 | condition: hp <= 14
   | group:
   | condition: turn 1
     | (30236:83) You've still got a ways to go! + Twist Serve
     | Bind awoken skills for 1 turn + Specific orbs change every 1.0s for 4 turns
   | group:
   | condition: turns 2-3
     | (30239:15) Sheesh...
     | Deal 1,000% damage (5 hits, 200% each)
   | group:
     | (30239:15) Sheesh...
     | Deal 1,000% damage (5 hits, 200% each)
