#976 - Green Pirate Dragon, Captain Kidd
monster size: 5
new AI: False
start/max counter: 1
counter increment: 1
monster_id: 976
approved: False

level: 5
 type: PREEMPT
 | (778:20) Pirate Fog
 | Voids status ailments for 10 turns
 group:
 | group:
   | group:
   | condition: turn 1 while HP > 29
     | (779:50) Iron Bucket
     | Player -99% HP
   | group:
   | condition: turn 2 while HP > 29
     | (780:48) Bad Slash
     | Change a random attribute to Jammer orbs, Deal 75% damage
   | group:
   | condition: turn 3 while HP > 29
     | (779:50) Iron Bucket
     | Player -99% HP
   | group:
   | condition: turn 4 while HP > 29
     | (780:48) Bad Slash
     | Change a random attribute to Jammer orbs, Deal 75% damage
   | group:
   | condition: turn 5 while HP > 29
     | (779:50) Iron Bucket
     | Player -99% HP
   | group:
   | condition: turn 6 while HP > 29
     | (780:48) Bad Slash
     | Change a random attribute to Jammer orbs, Deal 75% damage
   | group:
   | condition: turn 7 while HP > 29
     | (779:50) Iron Bucket
     | Player -99% HP
   | group:
   | condition: turn 8 while HP > 29
     | (780:48) Bad Slash
     | Change a random attribute to Jammer orbs, Deal 75% damage
   | group:
   | condition: turn 9 while HP > 29
     | (779:50) Iron Bucket
     | Player -99% HP
   | group:
   | condition: turn 10 while HP > 29
     | (780:48) Bad Slash
     | Change a random attribute to Jammer orbs, Deal 75% damage
   | group:
   | condition: turn 11 while HP > 29
     | (778:20) Pirate Fog
     | Voids status ailments for 10 turns
   | group:
   | condition: execute repeatedly, turn 1 of 2
     | (779:50) Iron Bucket
     | Player -99% HP
   | group:
   | condition: execute repeatedly, turn 2 of 2
     | (780:48) Bad Slash
     | Change a random attribute to Jammer orbs, Deal 75% damage
 | group:
 | condition: hp <= 29
   | (781:15) Adventure Galley
   | Deal 180% damage (3 hits, 60% each)
